                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.69718,                0.54597,                 1.0526,                 0.7114,                0.71655,                0.70501,                0.52333,                0.88288,                0.80177,                 1.1985,               0.001486,               0.001486,               0.001486
                     88,                0.68861,                0.55277,                 1.0512,                0.70228,                0.76783,                0.72372,                0.53258,                0.88678,                0.77171,                 1.1958,               0.001387,               0.001387,               0.001387
                     89,                0.68778,                0.53527,                 1.0436,                0.75448,                0.73357,                  0.746,                0.55505,                0.88949,                0.78241,                 1.1988,               0.001288,               0.001288,               0.001288
                     90,                0.67861,                0.52778,                 1.0457,                 0.8015,                0.73166,                0.74269,                0.54651,                0.88007,                0.76245,                 1.2027,               0.001189,               0.001189,               0.001189
                     91,                0.69611,                0.53596,                  1.058,                0.75488,                0.73791,                0.75118,                0.55501,                0.88431,                0.76766,                 1.1965,                0.00109,                0.00109,                0.00109
                     92,                0.67093,                0.51738,                 1.0436,                0.70319,                0.73333,                0.72351,                0.54804,                0.86885,                0.79961,                 1.1866,               0.000991,               0.000991,               0.000991
                     93,                0.68583,                0.53275,                 1.0501,                0.75016,                0.79564,                0.75582,                0.55842,                0.87392,                0.78017,                 1.1911,               0.000892,               0.000892,               0.000892
                     94,                0.66509,                0.51168,                 1.0386,                0.75965,                0.79307,                0.76755,                0.57308,                0.86997,                0.78077,                 1.1802,               0.000793,               0.000793,               0.000793
                     95,                0.68006,                0.51913,                 1.0444,                0.77309,                0.77275,                0.76114,                0.56082,                0.87403,                0.77658,                 1.1918,               0.000694,               0.000694,               0.000694
                     96,                0.66581,                0.50756,                 1.0354,                 0.7759,                0.75409,                0.75157,                0.54907,                0.88395,                0.79437,                 1.2028,               0.000595,               0.000595,               0.000595
                     97,                0.66939,                0.51759,                 1.0372,                0.76845,                0.75966,                0.74862,                 0.5576,                0.87034,                0.78303,                  1.188,               0.000496,               0.000496,               0.000496
                     98,                0.65367,                0.49736,                 1.0278,                 0.7916,                0.76022,                0.76668,                0.57296,                0.88035,                0.78128,                 1.1989,               0.000397,               0.000397,               0.000397
                     99,                0.65698,                 0.4997,                 1.0335,                0.75828,                0.75338,                0.76242,                0.57259,                0.87755,                0.78763,                 1.2005,               0.000298,               0.000298,               0.000298
